name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
PE 33:1,PE(33:1),PE(15:0/18:1(11Z)),HMDB0008893,53479575,NA,C00350,NA,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\CCCCCC,1
PE 34:1,PE(34:1),PE(14:0/20:1(11Z)),HMDB0008834,52924120,NA,C00350,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\CCCCCCCC,1
PE 34:2,PE(34:2),"PE(14:0/20:2(11Z,14Z))",HMDB0008835,52924121,NA,C00350,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC,1
PE 36:0,PE(36:0),PE(14:0/22:0),HMDB0008841,52924937,NA,C00350,NA,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCCN,1
PE 36:2,PE(36:2),"PE(14:0/22:2(13Z,16Z))",HMDB0008843,52924125,NA,C00350,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC,1
PE 36:4,PE(36:4),"PE(14:0/22:4(7Z,10Z,13Z,16Z))",HMDB0008844,52924126,NA,C00350,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PE 36:6,PE(36:6),PE(36:6),HMDB0009679,52924835,NA,C00350,NA,CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN,1
PE 38:2,PE(38:2),PE(14:1(9Z)/24:1(15Z)),HMDB0008882,53479570,NA,C00350,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)(O)OCCN,1
PE 38:4,PE(38:4),"PE(O-18:1(1Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0005779,9547058,NA,C00350,6548,CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PE 38:6,PE(38:6),"PE(O-16:1(1Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0005780,5283497,NA,C00350,6548,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PE 40:0,PE(40:0),PE(16:0/24:0),HMDB0008947,18605408,NA,C00350,NA,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,1
PE 40:2,PE(40:2),PE(16:1(9Z)/24:1(15Z)),HMDB0008981,53479604,NA,C00350,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OCCN,1
PE 40:4,PE(40:4),"PE(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0009009,52924901,NA,C00350,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PE 40:6,PE(40:6),"PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0009012,9546798,NA,C00350,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PE 42:4,PE(42:4),PE(42:4),HMDB0009755,53480027,NA,C00350,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,1
PE 42:6,PE(42:6),PE(42:6),HMDB0009691,52924851,NA,C00350,NA,CCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN,1
PE O-34:3,PE(34:3),"PE(16:0/18:3(9Z,12Z,15Z))",HMDB0008930,9546746,NA,C00350,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,1
PE O-36:2,PE(36:2),NA,L39,NA,NA,NA,NA,NA,0
PE O-36:3,PE(36:3),"PE(16:0/20:3(8Z,11Z,14Z))",HMDB0008936,52924920,NA,C00350,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,1
PE O-36:5,PE(36:5),NA,L40,NA,NA,NA,NA,NA,0
PE O-38:4,PE(38:4),"PE(20:3(8Z,11Z,14Z)/18:1(9Z))",HMDB0009356,52924615,NA,C00350,NA,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN,1
PE O-38:5,PE(38:5),"PE(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0009101,52924373,NA,C00350,NA,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,1
PE O-38:6,PE(38:6),NA,L41,NA,NA,NA,NA,NA,0
PE O-38:7,PE(38:7),"PE(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008979,52924914,NA,C00350,NA,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
PE O-40:4,PE(40:4),"PE(18:0/22:4(7Z,10Z,13Z,16Z))",HMDB0009009,52924901,NA,C00350,NA,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PE O-40:6,PE(40:6),NA,L42,NA,NA,NA,NA,NA,0
PG 38:6,PG(38:6),PG(38:6),HMDB0116629,52927111,NA,NA,NA,[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCC,1
